"gene"	"avg_log2fc"	"comb_adjpval"
"570"	"YCR011C"	0.367461816255688	1
"571"	"YCR012W"	2.94515049190396	0.00398012420855032
"572"	"YCR014C"	-0.177695234981509	1
"573"	"YCR015C"	-0.00444887919202492	1
"574"	"YCR016W"	0.135214377422335	1
"575"	"YCR017C"	0.126294463215857	1
"576"	"YCR018C"	-0.097587534796713	1
"577"	"YCR019W"	0.271329480550676	1
"578"	"YCR020W-B"	-0.0846742395922495	0.999999999087477
"579"	"YCR020C-A"	0.025923447263233	1
"580"	"YCR020C"	0.301429379929436	1
"581"	"YCR021C"	-0.0835433045060891	1
"582"	"YCR022C"	-0.045476988391801	1
"583"	"YCR023C"	0.234054342742498	1
